frequency_mhz,qualification,mapping,format,width,height,bits_per_pixel,mode,background_direction,deadline_guard_cycles,deadline_guard_us,background_offered_mb_s,safe,mandatory_deadline_misses,mandatory_min_service_pct,background_service_pct,published_frames,failed_captures,replay_safe_frames,replay_underruns,video_min_slack_us,video_max_wait_us,audio_deadline_misses,effective_mb_s,dq_util_pct,observed_idle_mb_s,unserved_words,dq_turnarounds,activates
130.0,board-acceptance,stripe-1k-chip-bank,1080p16,1920,1080,16,replay,write,2048,15.753846153846155,0.0,1,0,99.78620113168725,100,0,0,1,0,14.3,0.16923076923076924,0,248.684,95.64769230769231,11.316,266,2,381
130.0,board-acceptance,chip-row-bank-column,1080p8,1920,1080,8,capture,write,2048,15.753846153846155,0.0,1,0,100.0,100,1,0,0,0,28.06153846153846,16.823076923076922,0,124.8,48.0,135.2,0,23,191
130.0,board-acceptance,linear,1080p8,1920,1080,8,capture,write,2048,15.753846153846155,0.0,1,0,100.0,100,1,0,0,0,30.83076923076923,16.93076923076923,0,124.8,48.0,135.2,0,23,185
130.0,board-acceptance,row-bank-chip-column,1080p8,1920,1080,8,capture,write,2048,15.753846153846155,0.0,1,0,100.0,100,1,0,0,0,28.06153846153846,14.761538461538462,0,124.8,48.0,135.2,0,23,186
130.0,board-acceptance,row-chip-bank-column,1080p8,1920,1080,8,capture,write,2048,15.753846153846155,0.0,1,0,100.0,100,1,0,0,0,28.06153846153846,16.823076923076922,0,124.8,48.0,135.2,0,23,191
130.0,board-acceptance,stripe-1k-bank-chip,1080p8,1920,1080,8,capture,write,2048,15.753846153846155,0.0,1,0,100.0,100,1,0,0,0,28.06153846153846,16.66923076923077,0,124.8,48.0,135.2,0,23,233
130.0,board-acceptance,stripe-1k-chip-bank,1080p8,1920,1080,8,capture,write,2048,15.753846153846155,0.0,1,0,100.0,100,1,0,0,0,28.06153846153846,14.8,0,124.8,48.0,135.2,0,23,235
130.0,board-acceptance,chip-row-bank-column,1080p8,1920,1080,8,replay,write,2048,15.753846153846155,0.0,1,0,99.58847736625515,100,0,0,1,0,30.776923076923076,0.15384615384615385,0,124.288,47.80307692307692,135.712,256,2,184
130.0,board-acceptance,linear,1080p8,1920,1080,8,replay,write,2048,15.753846153846155,0.0,1,0,99.58847736625515,100,0,0,1,0,30.753846153846155,0.08461538461538462,0,124.288,47.80307692307692,135.712,256,2,184
130.0,board-acceptance,row-bank-chip-column,1080p8,1920,1080,8,replay,write,2048,15.753846153846155,0.0,1,0,99.58847736625515,100,0,0,1,0,30.776923076923076,0.11538461538461539,0,124.288,47.80307692307692,135.712,256,2,184
